head;relation;tail
first-line supervisors of construction trades and extraction workers;broadmatch;supervisors of construction and extraction workers
first-line supervisors of construction trades and extraction workers;narrowmatch;solar energy installation managers
solar energy installation managers;broadmatch;first-line supervisors of construction trades and extraction workers
construction trades workers;narrowmatch;boilermakers
boilermakers;broadmatch;construction trades workers
construction trades workers;narrowmatch;brickmasons, blockmasons, and stonemasons
brickmasons, blockmasons, and stonemasons;broadmatch;construction trades workers
construction trades workers;narrowmatch;carpenters
carpenters;broadmatch;construction trades workers
construction trades workers;narrowmatch;carpet, floor, and tile installers and finishers
carpet, floor, and tile installers and finishers;broadmatch;construction trades workers
construction and extraction occupations;narrowmatch;helpers, construction trades
construction trades workers;broadmatch;construction and extraction occupations
construction and extraction occupations;narrowmatch;construction trades workers
logging workers;narrowmatch;fallers
farmworkers, farm, ranch, and aquacultural animals;broadmatch;miscellaneous agricultural workers
miscellaneous agricultural workers;narrowmatch;agricultural workers, all other
agricultural workers, all other;broadmatch;miscellaneous agricultural workers
forest, conservation, and logging workers;narrowmatch;forest and conservation workers
forest and conservation workers;broadmatch;forest, conservation, and logging workers
forest, conservation, and logging workers;narrowmatch;logging workers
logging workers;broadmatch;forest, conservation, and logging workers
fallers;broadmatch;logging workers
supervisors of construction and extraction workers;broadmatch;construction and extraction occupations
logging workers;narrowmatch;logging equipment operators
logging equipment operators;broadmatch;logging workers
logging workers;narrowmatch;log graders and scalers
log graders and scalers;broadmatch;logging workers
logging workers;narrowmatch;logging workers, all other
logging workers, all other;broadmatch;logging workers
construction and extraction occupations;narrowmatch;supervisors of construction and extraction workers
construction trades workers;narrowmatch;cement masons, concrete finishers, and terrazzo workers
construction trades workers;narrowmatch;construction laborers
tile and stone setters;broadmatch;carpet, floor, and tile installers and finishers
construction laborers;broadmatch;construction trades workers
construction trades workers;narrowmatch;sheet metal workers
sheet metal workers;broadmatch;construction trades workers
construction trades workers;narrowmatch;structural iron and steel workers
structural iron and steel workers;broadmatch;construction trades workers
construction trades workers;narrowmatch;solar photovoltaic installers
solar photovoltaic installers;broadmatch;construction trades workers
brickmasons, blockmasons, and stonemasons;narrowmatch;brickmasons and blockmasons
brickmasons and blockmasons;broadmatch;brickmasons, blockmasons, and stonemasons
brickmasons, blockmasons, and stonemasons;narrowmatch;stonemasons
stonemasons;broadmatch;brickmasons, blockmasons, and stonemasons
carpet, floor, and tile installers and finishers;narrowmatch;carpet installers
carpet installers;broadmatch;carpet, floor, and tile installers and finishers
carpet, floor, and tile installers and finishers;narrowmatch;floor layers, except carpet, wood, and hard tiles
floor layers, except carpet, wood, and hard tiles;broadmatch;carpet, floor, and tile installers and finishers
carpet, floor, and tile installers and finishers;narrowmatch;floor sanders and finishers
floor sanders and finishers;broadmatch;carpet, floor, and tile installers and finishers
carpet, floor, and tile installers and finishers;narrowmatch;tile and stone setters
roofers;broadmatch;construction trades workers
construction trades workers;narrowmatch;roofers
reinforcing iron and rebar workers;broadmatch;construction trades workers
glaziers;broadmatch;construction trades workers
construction trades workers;narrowmatch;construction equipment operators
construction equipment operators;broadmatch;construction trades workers
construction trades workers;narrowmatch;drywall installers, ceiling tile installers, and tapers
drywall installers, ceiling tile installers, and tapers;broadmatch;construction trades workers
construction trades workers;narrowmatch;electricians
electricians;broadmatch;construction trades workers
construction trades workers;narrowmatch;glaziers
construction trades workers;narrowmatch;insulation workers
construction trades workers;narrowmatch;reinforcing iron and rebar workers
insulation workers;broadmatch;construction trades workers
construction trades workers;narrowmatch;painters and paperhangers
painters and paperhangers;broadmatch;construction trades workers
construction trades workers;narrowmatch;pipelayers, plumbers, pipefitters, and steamfitters
