head;relation;tail
media and communication workers, all other;broadmatch;miscellaneous media and communication workers
media and communication equipment workers;narrowmatch;broadcast, sound, and lighting technicians
miscellaneous media and communication workers;broadmatch;media and communication workers
media and communication workers;narrowmatch;miscellaneous media and communication workers
writers and editors;broadmatch;media and communication workers
disc jockeys, except radio;broadmatch;miscellaneous entertainers and performers, sports and related workers
dancers and choreographers;narrowmatch;choreographers
choreographers;broadmatch;dancers and choreographers
musicians, singers, and related workers;narrowmatch;music directors and composers
music directors and composers;broadmatch;musicians, singers, and related workers
musicians, singers, and related workers;narrowmatch;musicians and singers
musicians and singers;broadmatch;musicians, singers, and related workers
miscellaneous entertainers and performers, sports and related workers;narrowmatch;disc jockeys, except radio
miscellaneous entertainers and performers, sports and related workers;narrowmatch;entertainers and performers, sports and related workers, all other
media and communication workers;narrowmatch;writers and editors
entertainers and performers, sports and related workers, all other;broadmatch;miscellaneous entertainers and performers, sports and related workers
media and communication workers;narrowmatch;broadcast announcers and radio disc jockeys
broadcast announcers and radio disc jockeys;broadmatch;media and communication workers
media and communication workers;narrowmatch;news analysts, reporters and journalists
news analysts, reporters and journalists;broadmatch;media and communication workers
media and communication workers;narrowmatch;public relations specialists
public relations specialists;broadmatch;media and communication workers
broadcast, sound, and lighting technicians;broadmatch;media and communication equipment workers
photographers;broadmatch;media and communication equipment workers
healthcare diagnosing or treating practitioners;narrowmatch;therapists
media and communication equipment workers;narrowmatch;television, video, and film camera operators and editors
health technologists and technicians;broadmatch;healthcare practitioners and technical occupations
healthcare practitioners and technical occupations;narrowmatch;other healthcare practitioners and technical occupations
other healthcare practitioners and technical occupations;broadmatch;healthcare practitioners and technical occupations
healthcare diagnosing or treating practitioners;narrowmatch;chiropractors
chiropractors;broadmatch;healthcare diagnosing or treating practitioners
healthcare diagnosing or treating practitioners;narrowmatch;dentists
dentists;broadmatch;healthcare diagnosing or treating practitioners
healthcare diagnosing or treating practitioners;narrowmatch;dietitians and nutritionists
dietitians and nutritionists;broadmatch;healthcare diagnosing or treating practitioners
healthcare diagnosing or treating practitioners;narrowmatch;optometrists
optometrists;broadmatch;healthcare diagnosing or treating practitioners
healthcare diagnosing or treating practitioners;narrowmatch;pharmacists
pharmacists;broadmatch;healthcare diagnosing or treating practitioners
healthcare diagnosing or treating practitioners;narrowmatch;physician assistants
physician assistants;broadmatch;healthcare diagnosing or treating practitioners
healthcare diagnosing or treating practitioners;narrowmatch;podiatrists
podiatrists;broadmatch;healthcare diagnosing or treating practitioners
healthcare practitioners and technical occupations;narrowmatch;health technologists and technicians
healthcare diagnosing or treating practitioners;broadmatch;healthcare practitioners and technical occupations
healthcare practitioners and technical occupations;narrowmatch;healthcare diagnosing or treating practitioners
broadcast, sound, and lighting technicians;narrowmatch;sound engineering technicians
television, video, and film camera operators and editors;broadmatch;media and communication equipment workers
media and communication equipment workers;narrowmatch;miscellaneous media and communication equipment workers
miscellaneous media and communication equipment workers;broadmatch;media and communication equipment workers
broadcast, sound, and lighting technicians;narrowmatch;audio and video technicians
audio and video technicians;broadmatch;broadcast, sound, and lighting technicians
broadcast, sound, and lighting technicians;narrowmatch;broadcast technicians
broadcast technicians;broadmatch;broadcast, sound, and lighting technicians
sound engineering technicians;broadmatch;broadcast, sound, and lighting technicians
media and communication equipment workers, all other;broadmatch;miscellaneous media and communication equipment workers
broadcast, sound, and lighting technicians;narrowmatch;lighting technicians
lighting technicians;broadmatch;broadcast, sound, and lighting technicians
television, video, and film camera operators and editors;narrowmatch;camera operators, television, video, and film
camera operators, television, video, and film;broadmatch;television, video, and film camera operators and editors
television, video, and film camera operators and editors;narrowmatch;film and video editors
film and video editors;broadmatch;television, video, and film camera operators and editors
miscellaneous media and communication equipment workers;narrowmatch;media and communication equipment workers, all other
Physicians;narrowmatch;physicians, pathologists
Physicians;narrowmatch;psychiatrists
dancers and choreographers;narrowmatch;dancers
healthcare support occupations;narrowmatch;other healthcare support occupations
other healthcare practitioners and technical occupations;narrowmatch;health information technologists and medical registrars
health information technologists and medical registrars;broadmatch;other healthcare practitioners and technical occupations
other healthcare practitioners and technical occupations;narrowmatch;miscellaneous health practitioners and technical workers
miscellaneous health practitioners and technical workers;broadmatch;other healthcare practitioners and technical occupations
miscellaneous health practitioners and technical workers;narrowmatch;athletic trainers
athletic trainers;broadmatch;miscellaneous health practitioners and technical workers
miscellaneous health practitioners and technical workers;narrowmatch;genetic counselors
genetic counselors;broadmatch;miscellaneous health practitioners and technical workers
miscellaneous health practitioners and technical workers;narrowmatch;surgical assistants
surgical assistants;broadmatch;miscellaneous health practitioners and technical workers
miscellaneous health practitioners and technical workers;narrowmatch;healthcare practitioners and technical workers, all other
healthcare practitioners and technical workers, all other;broadmatch;miscellaneous health practitioners and technical workers
healthcare practitioners and technical workers, all other;narrowmatch;midwives
midwives;broadmatch;healthcare practitioners and technical workers, all other
healthcare support occupations;narrowmatch;"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides"
"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides";broadmatch;healthcare support occupations
healthcare support occupations;narrowmatch;occupational therapy and physical therapist assistants and aides
patient representatives;broadmatch;health technologists and technicians, all other
health technologists and technicians, all other;narrowmatch;patient representatives
ophthalmic medical technologists;broadmatch;health technologists and technicians, all other
ophthalmic medical technicians;broadmatch;health practitioner support technologists and technicians
health practitioner support technologists and technicians;narrowmatch;psychiatric technicians
psychiatric technicians;broadmatch;health practitioner support technologists and technicians
health practitioner support technologists and technicians;narrowmatch;surgical technologists
surgical technologists;broadmatch;health practitioner support technologists and technicians
health practitioner support technologists and technicians;narrowmatch;veterinary technologists and technicians
veterinary technologists and technicians;broadmatch;health practitioner support technologists and technicians
health practitioner support technologists and technicians;narrowmatch;ophthalmic medical technicians
miscellaneous health technologists and technicians;narrowmatch;orthotists and prosthetists
health technologists and technicians, all other;narrowmatch;ophthalmic medical technologists
orthotists and prosthetists;broadmatch;miscellaneous health technologists and technicians
miscellaneous health technologists and technicians;narrowmatch;hearing aid specialists
hearing aid specialists;broadmatch;miscellaneous health technologists and technicians
miscellaneous health technologists and technicians;narrowmatch;health technologists and technicians, all other
health technologists and technicians, all other;broadmatch;miscellaneous health technologists and technicians
health technologists and technicians, all other;narrowmatch;neurodiagnostic technologists
neurodiagnostic technologists;broadmatch;health technologists and technicians, all other
occupational therapy and physical therapist assistants and aides;broadmatch;healthcare support occupations
other healthcare support occupations;broadmatch;healthcare support occupations
health practitioner support technologists and technicians;narrowmatch;pharmacy technicians
"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides";narrowmatch;home health and personal care aides
occupational therapy aides;broadmatch;occupational therapy assistants and aides
physical therapist assistants and aides;narrowmatch;physical therapist assistants
physical therapist assistants;broadmatch;physical therapist assistants and aides
physical therapist assistants and aides;narrowmatch;physical therapist aides
physical therapist aides;broadmatch;physical therapist assistants and aides
other healthcare support occupations;narrowmatch;massage therapists
massage therapists;broadmatch;other healthcare support occupations
other healthcare support occupations;narrowmatch;miscellaneous healthcare support occupations
miscellaneous healthcare support occupations;broadmatch;other healthcare support occupations
miscellaneous healthcare support occupations;narrowmatch;dental assistants
dental assistants;broadmatch;miscellaneous healthcare support occupations
miscellaneous healthcare support occupations;narrowmatch;medical assistants
medical assistants;broadmatch;miscellaneous healthcare support occupations
miscellaneous healthcare support occupations;narrowmatch;medical equipment preparers
medical equipment preparers;broadmatch;miscellaneous healthcare support occupations
miscellaneous healthcare support occupations;narrowmatch;medical transcriptionists
medical transcriptionists;broadmatch;miscellaneous healthcare support occupations
occupational therapy assistants and aides;narrowmatch;occupational therapy aides
occupational therapy assistants;broadmatch;occupational therapy assistants and aides
occupational therapy assistants and aides;narrowmatch;occupational therapy assistants
nursing assistants, orderlies, and psychiatric aides;narrowmatch;nursing assistants
home health and personal care aides;broadmatch;"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides"
"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides";narrowmatch;nursing assistants, orderlies, and psychiatric aides
nursing assistants, orderlies, and psychiatric aides;broadmatch;"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides"
home health and personal care aides;narrowmatch;home health aides
home health aides;broadmatch;home health and personal care aides
home health and personal care aides;narrowmatch;personal care aides
personal care aides;broadmatch;home health and personal care aides
nursing assistants;broadmatch;nursing assistants, orderlies, and psychiatric aides
physical therapist assistants and aides;broadmatch;occupational therapy and physical therapist assistants and aides
nursing assistants, orderlies, and psychiatric aides;narrowmatch;orderlies
orderlies;broadmatch;nursing assistants, orderlies, and psychiatric aides
nursing assistants, orderlies, and psychiatric aides;narrowmatch;psychiatric aides
psychiatric aides;broadmatch;nursing assistants, orderlies, and psychiatric aides
occupational therapy and physical therapist assistants and aides;narrowmatch;occupational therapy assistants and aides
occupational therapy assistants and aides;broadmatch;occupational therapy and physical therapist assistants and aides
occupational therapy and physical therapist assistants and aides;narrowmatch;physical therapist assistants and aides
pharmacy technicians;broadmatch;health practitioner support technologists and technicians
dietetic technicians;broadmatch;health practitioner support technologists and technicians
psychiatrists;broadmatch;Physicians
health technologists and technicians;narrowmatch;emergency medical technicians and paramedics
surgeons;narrowmatch;pediatric surgeons
pediatric surgeons;broadmatch;surgeons
surgeons;narrowmatch;surgeons, all other
surgeons, all other;broadmatch;surgeons
miscellaneous healthcare diagnosing or treating practitioners;narrowmatch;acupuncturists
acupuncturists;broadmatch;miscellaneous healthcare diagnosing or treating practitioners
miscellaneous healthcare diagnosing or treating practitioners;narrowmatch;dental hygienists
dental hygienists;broadmatch;miscellaneous healthcare diagnosing or treating practitioners
miscellaneous healthcare diagnosing or treating practitioners;narrowmatch;healthcare diagnosing or treating practitioners, all other
healthcare diagnosing or treating practitioners, all other;broadmatch;miscellaneous healthcare diagnosing or treating practitioners
healthcare diagnosing or treating practitioners, all other;narrowmatch;naturopathic physicians
naturopathic physicians;broadmatch;healthcare diagnosing or treating practitioners, all other
healthcare diagnosing or treating practitioners, all other;narrowmatch;orthoptists
orthoptists;broadmatch;healthcare diagnosing or treating practitioners, all other
health technologists and technicians;narrowmatch;clinical laboratory technologists and technicians
clinical laboratory technologists and technicians;broadmatch;health technologists and technicians
health technologists and technicians;narrowmatch;diagnostic related technologists and technicians
orthopedic surgeons, except pediatric;broadmatch;surgeons
surgeons;narrowmatch;orthopedic surgeons, except pediatric
ophthalmologists, except pediatric;broadmatch;surgeons
hospitalists;broadmatch;physicians, all other
Physicians;narrowmatch;radiologists
radiologists;broadmatch;Physicians
Physicians;narrowmatch;physicians, all other
physicians, all other;broadmatch;Physicians
physicians, all other;narrowmatch;allergists and immunologists
allergists and immunologists;broadmatch;physicians, all other
physicians, all other;narrowmatch;hospitalists
physicians, all other;narrowmatch;urologists
surgeons;narrowmatch;ophthalmologists, except pediatric
urologists;broadmatch;physicians, all other
physicians, all other;narrowmatch;physical medicine and rehabilitation physicians
physical medicine and rehabilitation physicians;broadmatch;physicians, all other
physicians, all other;narrowmatch;preventive medicine physicians
preventive medicine physicians;broadmatch;physicians, all other
physicians, all other;narrowmatch;sports medicine physicians
sports medicine physicians;broadmatch;physicians, all other
diagnostic related technologists and technicians;broadmatch;health technologists and technicians
emergency medical technicians and paramedics;broadmatch;health technologists and technicians
health practitioner support technologists and technicians;narrowmatch;dietetic technicians
health technologists and technicians;narrowmatch;health practitioner support technologists and technicians
histology technicians;broadmatch;medical and clinical laboratory technicians
diagnostic related technologists and technicians;narrowmatch;cardiovascular technologists and technicians
cardiovascular technologists and technicians;broadmatch;diagnostic related technologists and technicians
diagnostic related technologists and technicians;narrowmatch;diagnostic medical sonographers
diagnostic medical sonographers;broadmatch;diagnostic related technologists and technicians
diagnostic related technologists and technicians;narrowmatch;nuclear medicine technologists
nuclear medicine technologists;broadmatch;diagnostic related technologists and technicians
diagnostic related technologists and technicians;narrowmatch;radiologic technologists and technicians
radiologic technologists and technicians;broadmatch;diagnostic related technologists and technicians
diagnostic related technologists and technicians;narrowmatch;magnetic resonance imaging technologists
magnetic resonance imaging technologists;broadmatch;diagnostic related technologists and technicians
diagnostic related technologists and technicians;narrowmatch;medical dosimetrists
medical dosimetrists;broadmatch;diagnostic related technologists and technicians
emergency medical technicians and paramedics;narrowmatch;emergency medical technicians
emergency medical technicians;broadmatch;emergency medical technicians and paramedics
emergency medical technicians and paramedics;narrowmatch;paramedics
paramedics;broadmatch;emergency medical technicians and paramedics
medical and clinical laboratory technicians;narrowmatch;histology technicians
histotechnologists;broadmatch;medical and clinical laboratory technologists
medical and clinical laboratory technologists;narrowmatch;histotechnologists
health technologists and technicians;narrowmatch;miscellaneous health technologists and technicians
health practitioner support technologists and technicians;broadmatch;health technologists and technicians
health technologists and technicians;narrowmatch;licensed practical and licensed vocational nurses
licensed practical and licensed vocational nurses;broadmatch;health technologists and technicians
health technologists and technicians;narrowmatch;medical records specialists
medical records specialists;broadmatch;health technologists and technicians
health technologists and technicians;narrowmatch;opticians, dispensing
opticians, dispensing;broadmatch;health technologists and technicians
miscellaneous health technologists and technicians;broadmatch;health technologists and technicians
cytotechnologists;broadmatch;medical and clinical laboratory technologists
clinical laboratory technologists and technicians;narrowmatch;medical and clinical laboratory technologists
medical and clinical laboratory technologists;broadmatch;clinical laboratory technologists and technicians
clinical laboratory technologists and technicians;narrowmatch;medical and clinical laboratory technicians
medical and clinical laboratory technicians;broadmatch;clinical laboratory technologists and technicians
medical and clinical laboratory technologists;narrowmatch;cytogenetic technologists
cytogenetic technologists;broadmatch;medical and clinical laboratory technologists
medical and clinical laboratory technologists;narrowmatch;cytotechnologists
dancers;broadmatch;dancers and choreographers
umpires, referees, and other sports officials;broadmatch;athletes, coaches, umpires, and related workers
quality control analysts;broadmatch;life, physical, and social science technicians, all other
life sciences teachers, postsecondary;narrowmatch;agricultural sciences teachers, postsecondary
postsecondary teachers;narrowmatch;health teachers, postsecondary
health teachers, postsecondary;broadmatch;postsecondary teachers
postsecondary teachers;narrowmatch;education and library science teachers, postsecondary
education and library science teachers, postsecondary;broadmatch;postsecondary teachers
postsecondary teachers;narrowmatch;law, criminal justice, and social work teachers, postsecondary
law, criminal justice, and social work teachers, postsecondary;broadmatch;postsecondary teachers
postsecondary teachers;narrowmatch;arts, communications, history, and humanities teachers, postsecondary
arts, communications, history, and humanities teachers, postsecondary;broadmatch;postsecondary teachers
postsecondary teachers;narrowmatch;miscellaneous postsecondary teachers
miscellaneous postsecondary teachers;broadmatch;postsecondary teachers
math and computer science teachers, postsecondary;narrowmatch;computer science teachers, postsecondary
computer science teachers, postsecondary;broadmatch;math and computer science teachers, postsecondary
math and computer science teachers, postsecondary;narrowmatch;mathematical science teachers, postsecondary
mathematical science teachers, postsecondary;broadmatch;math and computer science teachers, postsecondary
engineering and architecture teachers, postsecondary;narrowmatch;architecture teachers, postsecondary
architecture teachers, postsecondary;broadmatch;engineering and architecture teachers, postsecondary
engineering and architecture teachers, postsecondary;narrowmatch;engineering teachers, postsecondary
social sciences teachers, postsecondary;broadmatch;postsecondary teachers
postsecondary teachers;narrowmatch;social sciences teachers, postsecondary
physical sciences teachers, postsecondary;broadmatch;postsecondary teachers
other educational instruction and library occupations;broadmatch;educational instruction and library occupations
educational instruction and library occupations;narrowmatch;preschool, elementary, middle, secondary, and special education teachers
preschool, elementary, middle, secondary, and special education teachers;broadmatch;educational instruction and library occupations
educational instruction and library occupations;narrowmatch;other teachers and instructors
other teachers and instructors;broadmatch;educational instruction and library occupations
educational instruction and library occupations;narrowmatch;librarians, curators, and archivists
librarians, curators, and archivists;broadmatch;educational instruction and library occupations
educational instruction and library occupations;narrowmatch;other educational instruction and library occupations
postsecondary teachers;narrowmatch;business teachers, postsecondary
postsecondary teachers;narrowmatch;physical sciences teachers, postsecondary
business teachers, postsecondary;broadmatch;postsecondary teachers
postsecondary teachers;narrowmatch;math and computer science teachers, postsecondary
math and computer science teachers, postsecondary;broadmatch;postsecondary teachers
postsecondary teachers;narrowmatch;engineering and architecture teachers, postsecondary
engineering and architecture teachers, postsecondary;broadmatch;postsecondary teachers
postsecondary teachers;narrowmatch;life sciences teachers, postsecondary
life sciences teachers, postsecondary;broadmatch;postsecondary teachers
engineering teachers, postsecondary;broadmatch;engineering and architecture teachers, postsecondary
agricultural sciences teachers, postsecondary;broadmatch;life sciences teachers, postsecondary
educational instruction and library occupations;narrowmatch;postsecondary teachers
life sciences teachers, postsecondary;narrowmatch;biological science teachers, postsecondary
political science teachers, postsecondary;broadmatch;social sciences teachers, postsecondary
social sciences teachers, postsecondary;narrowmatch;psychology teachers, postsecondary
psychology teachers, postsecondary;broadmatch;social sciences teachers, postsecondary
social sciences teachers, postsecondary;narrowmatch;sociology teachers, postsecondary
sociology teachers, postsecondary;broadmatch;social sciences teachers, postsecondary
social sciences teachers, postsecondary;narrowmatch;social sciences teachers, postsecondary, all other
social sciences teachers, postsecondary, all other;broadmatch;social sciences teachers, postsecondary
health teachers, postsecondary;narrowmatch;health specialties teachers, postsecondary
health specialties teachers, postsecondary;broadmatch;health teachers, postsecondary
health teachers, postsecondary;narrowmatch;nursing instructors and teachers, postsecondary
nursing instructors and teachers, postsecondary;broadmatch;health teachers, postsecondary
education and library science teachers, postsecondary;narrowmatch;education teachers, postsecondary
education teachers, postsecondary;broadmatch;education and library science teachers, postsecondary
education and library science teachers, postsecondary;narrowmatch;library science teachers, postsecondary
library science teachers, postsecondary;broadmatch;education and library science teachers, postsecondary
law, criminal justice, and social work teachers, postsecondary;narrowmatch;criminal justice and law enforcement teachers, postsecondary
criminal justice and law enforcement teachers, postsecondary;broadmatch;law, criminal justice, and social work teachers, postsecondary
social sciences teachers, postsecondary;narrowmatch;political science teachers, postsecondary
geography teachers, postsecondary;broadmatch;social sciences teachers, postsecondary
social sciences teachers, postsecondary;narrowmatch;geography teachers, postsecondary
physical sciences teachers, postsecondary;narrowmatch;environmental science teachers, postsecondary
biological science teachers, postsecondary;broadmatch;life sciences teachers, postsecondary
life sciences teachers, postsecondary;narrowmatch;forestry and conservation science teachers, postsecondary
forestry and conservation science teachers, postsecondary;broadmatch;life sciences teachers, postsecondary
physical sciences teachers, postsecondary;narrowmatch;atmospheric, earth, marine, and space sciences teachers, postsecondary
atmospheric, earth, marine, and space sciences teachers, postsecondary;broadmatch;physical sciences teachers, postsecondary
physical sciences teachers, postsecondary;narrowmatch;chemistry teachers, postsecondary
chemistry teachers, postsecondary;broadmatch;physical sciences teachers, postsecondary
environmental science teachers, postsecondary;broadmatch;physical sciences teachers, postsecondary
economics teachers, postsecondary;broadmatch;social sciences teachers, postsecondary
physical sciences teachers, postsecondary;narrowmatch;physics teachers, postsecondary
physics teachers, postsecondary;broadmatch;physical sciences teachers, postsecondary
social sciences teachers, postsecondary;narrowmatch;anthropology and archeology teachers, postsecondary
anthropology and archeology teachers, postsecondary;broadmatch;social sciences teachers, postsecondary
social sciences teachers, postsecondary;narrowmatch;area, ethnic, and cultural studies teachers, postsecondary
area, ethnic, and cultural studies teachers, postsecondary;broadmatch;social sciences teachers, postsecondary
social sciences teachers, postsecondary;narrowmatch;economics teachers, postsecondary
postsecondary teachers;broadmatch;educational instruction and library occupations
legal support workers, all other;broadmatch;miscellaneous legal support workers
law teachers, postsecondary;broadmatch;law, criminal justice, and social work teachers, postsecondary
miscellaneous community and social service specialists;narrowmatch;probation officers and correctional treatment specialists
counselors;narrowmatch;marriage and family therapists
marriage and family therapists;broadmatch;counselors
counselors;narrowmatch;mental health counselors
mental health counselors;broadmatch;counselors
counselors;narrowmatch;rehabilitation counselors
rehabilitation counselors;broadmatch;counselors
counselors;narrowmatch;counselors, all other
counselors, all other;broadmatch;counselors
social workers;narrowmatch;child, family, and school social workers
child, family, and school social workers;broadmatch;social workers
social workers;narrowmatch;healthcare social workers
healthcare social workers;broadmatch;social workers
social workers;narrowmatch;mental health and substance abuse social workers
mental health and substance abuse social workers;broadmatch;social workers
social workers;narrowmatch;social workers, all other
social workers, all other;broadmatch;social workers
miscellaneous community and social service specialists;narrowmatch;health education specialists
educational, guidance, and career counselors and advisors;broadmatch;counselors
counselors;narrowmatch;educational, guidance, and career counselors and advisors
substance abuse and behavioral disorder counselors;broadmatch;counselors
counselors, social workers, and other community and social service specialists;broadmatch;community and social service occupations
life, physical, and social science technicians, all other;narrowmatch;remote sensing technicians
remote sensing technicians;broadmatch;life, physical, and social science technicians, all other
occupational health and safety specialists and technicians;narrowmatch;occupational health and safety specialists
occupational health and safety specialists;broadmatch;occupational health and safety specialists and technicians
occupational health and safety specialists and technicians;narrowmatch;occupational health and safety technicians
occupational health and safety technicians;broadmatch;occupational health and safety specialists and technicians
community and social service occupations;narrowmatch;counselors, social workers, and other community and social service specialists
community and social service occupations;narrowmatch;religious workers
counselors;narrowmatch;substance abuse and behavioral disorder counselors
religious workers;broadmatch;community and social service occupations
counselors, social workers, and other community and social service specialists;narrowmatch;counselors
counselors;broadmatch;counselors, social workers, and other community and social service specialists
counselors, social workers, and other community and social service specialists;narrowmatch;social workers
social workers;broadmatch;counselors, social workers, and other community and social service specialists
counselors, social workers, and other community and social service specialists;narrowmatch;miscellaneous community and social service specialists
miscellaneous community and social service specialists;broadmatch;counselors, social workers, and other community and social service specialists
health education specialists;broadmatch;miscellaneous community and social service specialists
probation officers and correctional treatment specialists;broadmatch;miscellaneous community and social service specialists
miscellaneous legal support workers;narrowmatch;legal support workers, all other
miscellaneous community and social service specialists;narrowmatch;social and human service assistants
judges, magistrates, and other judicial workers;broadmatch;lawyers, judges, and related workers
lawyers and judicial law clerks;narrowmatch;lawyers
lawyers;broadmatch;lawyers and judicial law clerks
lawyers and judicial law clerks;narrowmatch;judicial law clerks
judicial law clerks;broadmatch;lawyers and judicial law clerks
judges, magistrates, and other judicial workers;narrowmatch;administrative law judges, adjudicators, and hearing officers
administrative law judges, adjudicators, and hearing officers;broadmatch;judges, magistrates, and other judicial workers
judges, magistrates, and other judicial workers;narrowmatch;arbitrators, mediators, and conciliators
arbitrators, mediators, and conciliators;broadmatch;judges, magistrates, and other judicial workers
judges, magistrates, and other judicial workers;narrowmatch;judges, magistrate judges, and magistrates
judges, magistrate judges, and magistrates;broadmatch;judges, magistrates, and other judicial workers
legal support workers;narrowmatch;paralegals and legal assistants
paralegals and legal assistants;broadmatch;legal support workers
legal support workers;narrowmatch;miscellaneous legal support workers
miscellaneous legal support workers;broadmatch;legal support workers
miscellaneous legal support workers;narrowmatch;title examiners, abstractors, and searchers
title examiners, abstractors, and searchers;broadmatch;miscellaneous legal support workers
lawyers, judges, and related workers;narrowmatch;judges, magistrates, and other judicial workers
lawyers and judicial law clerks;broadmatch;lawyers, judges, and related workers
lawyers, judges, and related workers;narrowmatch;lawyers and judicial law clerks
religious workers;narrowmatch;directors, religious activities and education
social and human service assistants;broadmatch;miscellaneous community and social service specialists
miscellaneous community and social service specialists;narrowmatch;community health workers
community health workers;broadmatch;miscellaneous community and social service specialists
miscellaneous community and social service specialists;narrowmatch;community and social service specialists, all other
community and social service specialists, all other;broadmatch;miscellaneous community and social service specialists
religious workers;narrowmatch;clergy
clergy;broadmatch;religious workers
directors, religious activities and education;broadmatch;religious workers
legal support workers;broadmatch;legal occupations
religious workers;narrowmatch;miscellaneous religious workers
miscellaneous religious workers;broadmatch;religious workers
miscellaneous religious workers;narrowmatch;religious workers, all other
religious workers, all other;broadmatch;miscellaneous religious workers
legal occupations;narrowmatch;lawyers, judges, and related workers
lawyers, judges, and related workers;broadmatch;legal occupations
legal occupations;narrowmatch;legal support workers
law, criminal justice, and social work teachers, postsecondary;narrowmatch;law teachers, postsecondary
law, criminal justice, and social work teachers, postsecondary;narrowmatch;social work teachers, postsecondary
athletes, coaches, umpires, and related workers;narrowmatch;umpires, referees, and other sports officials
designers;narrowmatch;commercial and industrial designers
arts, design, entertainment, sports, and media occupations;narrowmatch;media and communication workers
media and communication workers;broadmatch;arts, design, entertainment, sports, and media occupations
arts, design, entertainment, sports, and media occupations;narrowmatch;media and communication equipment workers
media and communication equipment workers;broadmatch;arts, design, entertainment, sports, and media occupations
art and design workers;narrowmatch;artists and related workers
artists and related workers;broadmatch;art and design workers
art and design workers;narrowmatch;designers
designers;broadmatch;art and design workers
artists and related workers;narrowmatch;art directors
art directors;broadmatch;artists and related workers
artists and related workers;narrowmatch;craft artists
craft artists;broadmatch;artists and related workers
artists and related workers;narrowmatch;fine artists, including painters, sculptors, and illustrators
fine artists, including painters, sculptors, and illustrators;broadmatch;artists and related workers
artists and related workers;narrowmatch;special effects artists and animators
special effects artists and animators;broadmatch;artists and related workers
artists and related workers;narrowmatch;artists and related workers, all other
entertainers and performers, sports and related workers;broadmatch;arts, design, entertainment, sports, and media occupations
arts, design, entertainment, sports, and media occupations;narrowmatch;entertainers and performers, sports and related workers
art and design workers;broadmatch;arts, design, entertainment, sports, and media occupations
teaching assistants, preschool, elementary, middle, and secondary school, except special education;broadmatch;teaching assistants
other educational instruction and library occupations;narrowmatch;instructional coordinators
instructional coordinators;broadmatch;other educational instruction and library occupations
other educational instruction and library occupations;narrowmatch;teaching assistants
teaching assistants;broadmatch;other educational instruction and library occupations
other educational instruction and library occupations;narrowmatch;miscellaneous educational instruction and library workers
miscellaneous educational instruction and library workers;broadmatch;other educational instruction and library occupations
teaching assistants;narrowmatch;teaching assistants, preschool, elementary, middle, and secondary school, except special education
teaching assistants;narrowmatch;teaching assistants, special education
arts, design, entertainment, sports, and media occupations;narrowmatch;art and design workers
teaching assistants, special education;broadmatch;teaching assistants
teaching assistants;narrowmatch;teaching assistants, postsecondary
teaching assistants, postsecondary;broadmatch;teaching assistants
teaching assistants;narrowmatch;teaching assistants, all other
teaching assistants, all other;broadmatch;teaching assistants
miscellaneous educational instruction and library workers;narrowmatch;educational instruction and library workers, all other
educational instruction and library workers, all other;broadmatch;miscellaneous educational instruction and library workers
artists and related workers, all other;broadmatch;artists and related workers
commercial and industrial designers;broadmatch;designers
other educational instruction and library occupations;narrowmatch;farm and home management educators
designers;narrowmatch;fashion designers
musicians, singers, and related workers;broadmatch;entertainers and performers, sports and related workers
entertainers and performers, sports and related workers;narrowmatch;miscellaneous entertainers and performers, sports and related workers
miscellaneous entertainers and performers, sports and related workers;broadmatch;entertainers and performers, sports and related workers
actors, producers, and directors;narrowmatch;actors
actors;broadmatch;actors, producers, and directors
actors, producers, and directors;narrowmatch;producers and directors
producers and directors;broadmatch;actors, producers, and directors
producers and directors;narrowmatch;media programming directors
media programming directors;broadmatch;producers and directors
producers and directors;narrowmatch;talent directors
talent directors;broadmatch;producers and directors
producers and directors;narrowmatch;media technical directors/managers
media technical directors/managers;broadmatch;producers and directors
athletes, coaches, umpires, and related workers;narrowmatch;athletes and sports competitors
athletes and sports competitors;broadmatch;athletes, coaches, umpires, and related workers
athletes, coaches, umpires, and related workers;narrowmatch;coaches and scouts
coaches and scouts;broadmatch;athletes, coaches, umpires, and related workers
entertainers and performers, sports and related workers;narrowmatch;musicians, singers, and related workers
dancers and choreographers;broadmatch;entertainers and performers, sports and related workers
entertainers and performers, sports and related workers;narrowmatch;dancers and choreographers
designers;narrowmatch;merchandise displayers and window trimmers
fashion designers;broadmatch;designers
designers;narrowmatch;floral designers
floral designers;broadmatch;designers
designers;narrowmatch;graphic designers
graphic designers;broadmatch;designers
designers;narrowmatch;interior designers
interior designers;broadmatch;designers
merchandise displayers and window trimmers;broadmatch;designers
athletes, coaches, umpires, and related workers;broadmatch;entertainers and performers, sports and related workers
designers;narrowmatch;set and exhibit designers
set and exhibit designers;broadmatch;designers
designers;narrowmatch;designers, all other
designers, all other;broadmatch;designers
entertainers and performers, sports and related workers;narrowmatch;actors, producers, and directors
